"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RW","Ryan Reaves",2500,"Dal@StL 08:00PM ET",0.423,"StL"
"D","Chris Butler",2500,"Dal@StL 08:00PM ET",0.600,"StL"
"LW","Micheal Haley",2500,"SJ@Nsh 09:00PM ET",0.455,"SJ"
"LW","Nick Spaling",2500,"SJ@Nsh 09:00PM ET",1.239,"SJ"
"D","Carl Gunnarsson",2500,"Dal@StL 08:00PM ET",1.381,"StL"
"LW","Magnus Paajarvi",2500,"Dal@StL 08:00PM ET",1.327,"StL"
"RW","Jordan Caron",2500,"Dal@StL 08:00PM ET",0.083,"StL"
"D","Robert Bortuzzo",2500,"Dal@StL 08:00PM ET",1.019,"StL"
"RW","Gabriel Bourque",2500,"SJ@Nsh 09:00PM ET",1.121,"Nsh"
"LW","Austin Watson",2500,"SJ@Nsh 09:00PM ET",1.014,"Nsh"
"D","Patrik Nemeth",2500,"Dal@StL 08:00PM ET",1.027,"Dal"
"D","Petter Granberg",2500,"SJ@Nsh 09:00PM ET",0.548,"Nsh"
"D","Anthony Bitetto",2500,"SJ@Nsh 09:00PM ET",1.010,"Nsh"
"D","Jamie Oleksiak",2500,"Dal@StL 08:00PM ET",0.658,"Dal"
"RW","Ty Rattie",2500,"Dal@StL 08:00PM ET",1.389,"StL"
"RW","Dmitrij Jaskin",2500,"Dal@StL 08:00PM ET",1.138,"StL"
"RW","Brett Ritchie",2500,"Dal@StL 08:00PM ET",0.917,"Dal"
"D","Joel Edmundson",2500,"Dal@StL 08:00PM ET",1.244,"StL"
"LW","Miikka Salomaki",2500,"SJ@Nsh 09:00PM ET",1.128,"Nsh"
"D","Dylan DeMelo",2500,"SJ@Nsh 09:00PM ET",0.990,"SJ"
"D","Matt Tennyson",2500,"SJ@Nsh 09:00PM ET",0.702,"SJ"
"C","Jeremy Welsh",2500,"Dal@StL 08:00PM ET",0.000,"StL"
"D","Jordan Schmaltz",2500,"Dal@StL 08:00PM ET",0.000,"StL"
"RW","Pontus Aberg",2500,"SJ@Nsh 09:00PM ET",0.000,"Nsh"
"RW","Colton Sissons",2500,"SJ@Nsh 09:00PM ET",1.000,"Nsh"
"C","Chris Tierney",2500,"SJ@Nsh 09:00PM ET",1.392,"SJ"
"C","Devin Shore",2500,"Dal@StL 08:00PM ET",0.125,"Dal"
"D","Petteri Lindbohm",2500,"Dal@StL 08:00PM ET",0.625,"StL"
"D","Mirco Mueller",2500,"SJ@Nsh 09:00PM ET",0.344,"SJ"
"LW","Barclay Goodrow",2500,"SJ@Nsh 09:00PM ET",0.781,"SJ"
"C","Ryan Carpenter",2500,"SJ@Nsh 09:00PM ET",0.000,"SJ"
"RW","Nikolay Goldobin",2500,"SJ@Nsh 09:00PM ET",0.900,"SJ"
"C","Ivan Barbashev",2500,"Dal@StL 08:00PM ET",0.000,"StL"
