C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Brian Elliott (7714228),Brian Elliott,7714228,7400,Cgy@LA 10:00PM ET,Cgy,
,,,,,,,,,,G,Chad Johnson (7714231),Chad Johnson,7714231,7400,Cgy@LA 10:00PM ET,Cgy,
,,,,,,,,,,G,Sergei Bobrovsky (7714164),Sergei Bobrovsky,7714164,7300,Cls@StL 07:00PM ET,Cls,
,,,,,,,,,,G,Ryan Miller (7714175),Ryan Miller,7714175,7300,Van@Tor 07:00PM ET,Van,
,,,,,,,,,,G,Jhonas Enroth (7714176),Jhonas Enroth,7714176,7300,Van@Tor 07:00PM ET,Tor,
,,,,,,,,,,G,Jacob Markstrom (7714178),Jacob Markstrom,7714178,7300,Van@Tor 07:00PM ET,Van,
,,,,,,,,,,RW,Brendan Gallagher (7713796),Brendan Gallagher,7713796,7300,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,D,Shea Weber (7713975),Shea Weber,7713975,7300,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,G,Steve Mason (7714183),Steve Mason,7714183,7300,Phi@Mon 07:00PM ET,Phi,
,,,,,,,,,,G,Michal Neuvirth (7714184),Michal Neuvirth,7714184,7300,Phi@Mon 07:00PM ET,Phi,
,,,,,,,,,,G,Cory Schneider (7714196),Cory Schneider,7714196,7300,NJ@TB 07:00PM ET,NJ,
,,,,,,,,,,G,Anton Khudobin (7714170),Anton Khudobin,7714170,7200,NYR@Bos 07:00PM ET,Bos,
,,,,,,,,,,C,Auston Matthews (7713486),Auston Matthews,7713486,7200,Van@Tor 07:00PM ET,Tor,
,,,,,,,,,,LW,Max Pacioretty (7713633),Max Pacioretty,7713633,7200,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,G,Robin Lehner (7714188),Robin Lehner,7714188,7200,Buf@Ott 07:00PM ET,Buf,
,,,,,,,,,,G,Jaroslav Halak (7714202),Jaroslav Halak,7714202,7200,Edm@NYI 07:00PM ET,NYI,
,,,,,,,,,,G,Thomas Greiss (7714203),Thomas Greiss,7714203,7200,Edm@NYI 07:00PM ET,NYI,
,,,,,,,,,,G,Roberto Luongo (7714208),Roberto Luongo,7714208,7200,Fla@Was 07:00PM ET,Fla,
,,,,,,,,,,G,Calvin Pickard (7714158),Calvin Pickard,7714158,7100,Min@Col 03:00PM ET,Col,
,,,,,,,,,,G,Curtis McElhinney (7714160),Curtis McElhinney,7714160,7100,Cls@StL 07:00PM ET,Cls,
,,,,,,,,,,G,Anders Nilsson (7714189),Anders Nilsson,7714189,7100,Buf@Ott 07:00PM ET,Buf,
,,,,,,,,,,G,Keith Kinkaid (7714199),Keith Kinkaid,7714199,7100,NJ@TB 07:00PM ET,NJ,
,,,,,,,,,,G,James Reimer (7714209),James Reimer,7714209,7100,Fla@Was 07:00PM ET,Fla,
,,,,,,,,,,LW,Jamie Benn (7713707),Jamie Benn,7713707,7100,Chi@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Kari Lehtonen (7714221),Kari Lehtonen,7714221,7100,Chi@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Antti Niemi (7714223),Antti Niemi,7714223,7100,Chi@Dal 08:00PM ET,Dal,
,,,,,,,,,,C,Evgeni Malkin (7713576),Evgeni Malkin,7713576,7000,Pit@SJ 10:30PM ET,Pit,
,,,,,,,,,,G,Cam Ward (7714215),Cam Ward,7714215,6900,Car@Nsh 08:00PM ET,Car,
,,,,,,,,,,LW,Artemi Panarin (7713718),Artemi Panarin,7713718,6900,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,LW,Brad Marchand (7713612),Brad Marchand,7713612,6800,NYR@Bos 07:00PM ET,Bos,
,,,,,,,,,,G,Zane McIntyre (7714171),Zane McIntyre,7714171,6800,NYR@Bos 07:00PM ET,Bos,
,,,,,,,,,,G,Malcolm Subban (7714173),Malcolm Subban,7714173,6800,NYR@Bos 07:00PM ET,Bos,
,,,,,,,,,,C,Claude Giroux (7713489),Claude Giroux,7713489,6800,Phi@Mon 07:00PM ET,Phi,
,,,,,,,,,,G,Eddie Lack (7714217),Eddie Lack,7714217,6800,Car@Nsh 08:00PM ET,Car,
,,,,,,,,,,G,Alex Stalock (7714156),Alex Stalock,7714156,6700,Min@Col 03:00PM ET,Min,
,,,,,,,,,,LW,Chris Kreider (7713614),Chris Kreider,7713614,6700,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,C,Alex Galchenyuk (7713495),Alex Galchenyuk,7713495,6700,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,G,Chris Driedger (7714191),Chris Driedger,7714191,6700,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,G,Matthew O'Connor (7714195),Matthew O'Connor,7714195,6700,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,RW,Jordan Eberle (7713831),Jordan Eberle,7713831,6700,Edm@NYI 07:00PM ET,Edm,
,,,,,,,,,,C,Nathan MacKinnon (7713450),Nathan MacKinnon,7713450,6600,Min@Col 03:00PM ET,Col,
,,,,,,,,,,LW,Zach Parise (7713585),Zach Parise,7713585,6600,Min@Col 03:00PM ET,Min,
,,,,,,,,,,RW,Mats Zuccarello (7713768),Mats Zuccarello,7713768,6600,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,G,Richard Bachman (7714177),Richard Bachman,7714177,6600,Van@Tor 07:00PM ET,Van,
,,,,,,,,,,RW,Jakub Voracek (7713792),Jakub Voracek,7713792,6600,Phi@Mon 07:00PM ET,Phi,
,,,,,,,,,,G,Anthony Stolarz (7714185),Anthony Stolarz,7714185,6600,Phi@Mon 07:00PM ET,Phi,
,,,,,,,,,,C,Ryan O'Reilly (7713502),Ryan O'Reilly,7713502,6600,Buf@Ott 07:00PM ET,Buf,
,,,,,,,,,,G,Jean-Francois Berube (7714206),Jean-Francois Berube,7714206,6600,Edm@NYI 07:00PM ET,NYI,
,,,,,,,,,,G,Alex Nedeljkovic (7714220),Alex Nedeljkovic,7714220,6600,Car@Nsh 08:00PM ET,Car,
,,,,,,,,,,D,Kris Letang (7714139),Kris Letang,7714139,6600,Pit@SJ 10:30PM ET,Pit,
,,,,,,,,,,C,Matt Duchene (7713446),Matt Duchene,7713446,6500,Min@Col 03:00PM ET,Col,
,,,,,,,,,,RW,Rick Nash (7713766),Rick Nash,7713766,6500,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,G,Magnus Hellberg (7714172),Magnus Hellberg,7714172,6500,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,G,Garret Sparks (7714180),Garret Sparks,7714180,6500,Van@Tor 07:00PM ET,Tor,
,,,,,,,,,,RW,Wayne Simmonds (7713793),Wayne Simmonds,7713793,6500,Phi@Mon 07:00PM ET,Phi,
,,,,,,,,,,G,Charlie Lindgren (7714186),Charlie Lindgren,7714186,6500,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,LW,Evander Kane (7713648),Evander Kane,7713648,6500,Buf@Ott 07:00PM ET,Buf,
,,,,,,,,,,G,Scott Greenham (7714190),Scott Greenham,7714190,6500,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,G,Linus Ullmark (7714192),Linus Ullmark,7714192,6500,Buf@Ott 07:00PM ET,Buf,
,,,,,,,,,,G,Scott Wedgewood (7714198),Scott Wedgewood,7714198,6500,NJ@TB 07:00PM ET,NJ,
,,,,,,,,,,G,Kristers Gudlevskis (7714201),Kristers Gudlevskis,7714201,6500,NJ@TB 07:00PM ET,TB,
,,,,,,,,,,G,Laurent Brossoit (7714207),Laurent Brossoit,7714207,6500,Edm@NYI 07:00PM ET,Edm,
,,,,,,,,,,G,Joe Cannata (7714212),Joe Cannata,7714212,6500,Fla@Was 07:00PM ET,Was,
,,,,,,,,,,G,Reto Berra (7714213),Reto Berra,7714213,6500,Fla@Was 07:00PM ET,Fla,
,,,,,,,,,,G,Juuse Saros (7714219),Juuse Saros,7714219,6500,Car@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,Lars Johansson (7714226),Lars Johansson,7714226,6500,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,G,Spencer Martin (7714159),Spencer Martin,7714159,6400,Min@Col 03:00PM ET,Col,
,,,,,,,,,,G,Brad Thiessen (7714162),Brad Thiessen,7714162,6400,Cls@StL 07:00PM ET,Cls,
,,,,,,,,,,G,Jordan Binnington (7714165),Jordan Binnington,7714165,6400,Cls@StL 07:00PM ET,StL,
,,,,,,,,,,G,Anton Forsberg (7714166),Anton Forsberg,7714166,6400,Cls@StL 07:00PM ET,Cls,
,,,,,,,,,,G,Luke Opilka (7714167),Luke Opilka,7714167,6400,Cls@StL 07:00PM ET,StL,
,,,,,,,,,,C,Patrice Bergeron (7713464),Patrice Bergeron,7713464,6400,NYR@Bos 07:00PM ET,Bos,
,,,,,,,,,,D,Roman Josi (7714080),Roman Josi,7714080,6400,Car@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,Michael Leighton (7714214),Michael Leighton,7714214,6400,Car@Nsh 08:00PM ET,Car,
,,,,,,,,,,G,Max Lagace (7714225),Max Lagace,7714225,6400,Chi@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Jack Campbell (7714232),Jack Campbell,7714232,6400,Cgy@LA 10:00PM ET,LA,
,,,,,,,,,,G,David Rittich (7714233),David Rittich,7714233,6400,Cgy@LA 10:00PM ET,Cgy,
,,,,,,,,,,RW,Patric Hornqvist (7713888),Patric Hornqvist,7713888,6400,Pit@SJ 10:30PM ET,Pit,
,,,,,,,,,,G,Sean Maguire (7714237),Sean Maguire,7714237,6400,Pit@SJ 10:30PM ET,Pit,
