C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Jordan Binnington (6663992),Jordan Binnington,6663992,6000,Dal@StL 08:00PM ET,StL
,,,,,,,,,,G,Marek Mazanec (6663998),Marek Mazanec,6663998,6000,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,G,Troy Grosenick (6663999),Troy Grosenick,6663999,6000,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,G,Juuse Saros (6664000),Juuse Saros,6664000,6000,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,G,Pheonix Copley (6663993),Pheonix Copley,6663993,6000,Dal@StL 08:00PM ET,StL
,,,,,,,,,,G,Aaron Dell (6664001),Aaron Dell,6664001,6000,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,C,Joe Thornton (6663892),Joe Thornton,6663892,5900,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,LW,Alexander Steen (6663902),Alexander Steen,6663902,5800,Dal@StL 08:00PM ET,StL
,,,,,,,,,,C,Patrick Marleau (6663893),Patrick Marleau,6663893,5700,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,C,Ryan Johansen (6663898),Ryan Johansen,6663898,5600,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,RW,T.J. Oshie (6659909),T.J. Oshie,6659909,5500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Alex Goligoski (6663954),Alex Goligoski,6663954,5400,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,LW,Jaden Schwartz (6663906),Jaden Schwartz,6663906,5300,Dal@StL 08:00PM ET,StL
,,,,,,,,,,LW,Tomas Hertl (6663921),Tomas Hertl,6663921,5200,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,RW,David Backes (6663926),David Backes,6663926,5100,Dal@StL 08:00PM ET,StL
,,,,,,,,,,C,Nick Bonino (6659892),Nick Bonino,6659892,5100,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Colton Parayko (6663967),Colton Parayko,6663967,5100,Dal@StL 08:00PM ET,StL
,,,,,,,,,,D,Matt Niskanen (6659919),Matt Niskanen,6659919,5000,Was@Pit 08:00PM ET,Was
,,,,,,,,,,LW,Carl Hagelin (6659904),Carl Hagelin,6659904,5000,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,RW,Justin Williams (6659907),Justin Williams,6659907,4900,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Marc-Edouard Vlasic (6663973),Marc-Edouard Vlasic,6663973,4900,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,LW,Chris Kunitz (6659898),Chris Kunitz,6659898,4800,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,C,Paul Stastny (6663885),Paul Stastny,6663885,4700,Dal@StL 08:00PM ET,StL
,,,,,,,,,,D,Kris Russell (6663951),Kris Russell,6663951,4600,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,RW,Craig Smith (6663943),Craig Smith,6663943,4600,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,D,Trevor Daley (6659917),Trevor Daley,6659917,4500,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,LW,Marcus Johansson (6659901),Marcus Johansson,6659901,4500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Ryan Ellis (6663975),Ryan Ellis,6663975,4400,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,RW,Ales Hemsky (6663924),Ales Hemsky,6663924,4300,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,C,Cody Eakin (6663887),Cody Eakin,6663887,4300,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,D,Mattias Ekholm (6663981),Mattias Ekholm,6663981,4300,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,C,Matt Cullen (6659886),Matt Cullen,6659886,4200,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Karl Alzner (6659921),Karl Alzner,6659921,4200,Was@Pit 08:00PM ET,Was
,,,,,,,,,,RW,Andre Burakovsky (6659916),Andre Burakovsky,6659916,4200,Was@Pit 08:00PM ET,Was
,,,,,,,,,,LW,Robby Fabbri (6663909),Robby Fabbri,6663909,4200,Dal@StL 08:00PM ET,StL
,,,,,,,,,,RW,Joel Ward (6663940),Joel Ward,6663940,4100,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,RW,Troy Brouwer (6663927),Troy Brouwer,6663927,4000,Dal@StL 08:00PM ET,StL
,,,,,,,,,,C,Jori Lehtera (6663886),Jori Lehtera,6663886,4000,Dal@StL 08:00PM ET,StL
,,,,,,,,,,LW,Jason Chimera (6659897),Jason Chimera,6659897,3900,Was@Pit 08:00PM ET,Was
,,,,,,,,,,RW,Patrick Eaves (6663925),Patrick Eaves,6663925,3900,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,C,Patrik Berglund (6663884),Patrik Berglund,6663884,3900,Dal@StL 08:00PM ET,StL
,,,,,,,,,,C,Mike Fisher (6663895),Mike Fisher,6663895,3800,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,D,Jay Bouwmeester (6663949),Jay Bouwmeester,6663949,3800,Dal@StL 08:00PM ET,StL
,,,,,,,,,,D,Johnny Oduya (6663952),Johnny Oduya,6663952,3800,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,C,Mike Ribeiro (6663894),Mike Ribeiro,6663894,3700,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,D,Brooks Orpik (6659918),Brooks Orpik,6659918,3700,Was@Pit 08:00PM ET,Was
,,,,,,,,,,LW,Joonas Donskoi (6663917),Joonas Donskoi,6663917,3700,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,D,Olli Maatta (6659930),Olli Maatta,6659930,3700,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Jason Demers (6663957),Jason Demers,6663957,3600,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,LW,Mattias Janmark (6663908),Mattias Janmark,6663908,3600,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,D,Justin Braun (6663976),Justin Braun,6663976,3500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,LW,Calle Jarnkrok (6663916),Calle Jarnkrok,6663916,3500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,D,Justin Schultz (6659931),Justin Schultz,6659931,3500,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,RW,Eric Fehr (6659908),Eric Fehr,6659908,3400,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Ben Lovejoy (6659924),Ben Lovejoy,6659924,3400,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,LW,Conor Sheary (6659906),Conor Sheary,6659906,3400,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,LW,Colin Wilson (6663913),Colin Wilson,6663913,3300,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,LW,Tom Kuhnhackl (6659903),Tom Kuhnhackl,6659903,3300,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Dmitry Orlov (6659927),Dmitry Orlov,6659927,3300,Was@Pit 08:00PM ET,Was
,,,,,,,,,,C,Radek Faksa (6663889),Radek Faksa,6663889,3300,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,RW,Valeri Nichushkin (6663936),Valeri Nichushkin,6663936,3300,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,RW,Viktor Arvidsson (6663948),Viktor Arvidsson,6663948,3300,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,D,Roman Polak (6663974),Roman Polak,6663974,3200,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,RW,Colton Sceviour (6663929),Colton Sceviour,6663929,3200,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,LW,Antoine Roussel (6663907),Antoine Roussel,6663907,3200,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,RW,Bryan Rust (6659914),Bryan Rust,6659914,3100,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Paul Martin (6663970),Paul Martin,6663970,3000,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,RW,Tommy Wingels (6663942),Tommy Wingels,6663942,3000,SJ@Nsh 09:00PM ET,SJ
