C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Ben Bishop (7724127),Ben Bishop,7724127,8200,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,G,Jaroslav Halak (7724121),Jaroslav Halak,7724121,8000,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,G,Thomas Greiss (7724122),Thomas Greiss,7724122,8000,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,C,Steven Stamkos (7723976),Steven Stamkos,7723976,8000,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,G,Andrei Vasilevskiy (7724129),Andrei Vasilevskiy,7724129,8000,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,G,Tuukka Rask (7724113),Tuukka Rask,7724113,7900,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,G,Anton Khudobin (7724114),Anton Khudobin,7724114,7700,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,C,John Tavares (7723966),John Tavares,7723966,7600,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,G,Zane McIntyre (7724116),Zane McIntyre,7724116,7500,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,G,Ryan Miller (7724120),Ryan Miller,7724120,7400,Van@NYI 07:00PM ET,Van,
,,,,,,,,,,G,Jacob Markstrom (7724125),Jacob Markstrom,7724125,7400,Van@NYI 07:00PM ET,Van,
,,,,,,,,,,G,Robin Lehner (7724115),Robin Lehner,7724115,7300,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,G,Roberto Luongo (7724126),Roberto Luongo,7724126,7300,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,G,James Reimer (7724128),James Reimer,7724128,7200,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,G,Anders Nilsson (7724117),Anders Nilsson,7724117,7100,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,LW,Brad Marchand (7723987),Brad Marchand,7723987,7000,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,G,Malcolm Subban (7724118),Malcolm Subban,7724118,6800,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,C,Patrice Bergeron (7723951),Patrice Bergeron,7723951,6600,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,G,Richard Bachman (7724123),Richard Bachman,7724123,6600,Van@NYI 07:00PM ET,Van,
,,,,,,,,,,G,Jean-Francois Berube (7724124),Jean-Francois Berube,7724124,6600,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,LW,Evander Kane (7723989),Evander Kane,7723989,6500,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,G,Linus Ullmark (7724119),Linus Ullmark,7724119,6500,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,RW,Nikita Kucherov (7724048),Nikita Kucherov,7724048,6500,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,G,Reto Berra (7724130),Reto Berra,7724130,6500,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,G,Kristers Gudlevskis (7724131),Kristers Gudlevskis,7724131,6500,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,RW,David Pastrnak (7724029),David Pastrnak,7724029,6400,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,C,Ryan O'Reilly (7723954),Ryan O'Reilly,7723954,6300,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,C,Jack Eichel (7723961),Jack Eichel,7723961,6200,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,C,Aleksander Barkov (7723983),Aleksander Barkov,7723983,6100,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,RW,Kyle Okposo (7724022),Kyle Okposo,7724022,6000,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,LW,Jonathan Marchessault (7724017),Jonathan Marchessault,7724017,5700,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,LW,Daniel Sedin (7723997),Daniel Sedin,7723997,5600,Van@NYI 07:00PM ET,Van,
,,,,,,,,,,D,Rasmus Ristolainen (7724068),Rasmus Ristolainen,7724068,5500,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,LW,Jonathan Drouin (7724018),Jonathan Drouin,7724018,5500,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,D,Victor Hedman (7724101),Victor Hedman,7724101,5400,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,RW,David Backes (7724021),David Backes,7724021,5300,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,LW,Jonathan Huberdeau (7724013),Jonathan Huberdeau,7724013,5300,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Vincent Trocheck (7723980),Vincent Trocheck,7723980,5200,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,David Krejci (7723952),David Krejci,7723952,5100,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,LW,Andrew Ladd (7723998),Andrew Ladd,7723998,5000,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,D,Johnny Boychuk (7724073),Johnny Boychuk,7724073,5000,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,C,Tyler Johnson (7723979),Tyler Johnson,7723979,5000,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,C,Brock Nelson (7723968),Brock Nelson,7723968,4900,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,LW,Josh Bailey (7724001),Josh Bailey,7724001,4800,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,RW,Jaromir Jagr (7724042),Jaromir Jagr,7724042,4800,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,D,Torey Krug (7724065),Torey Krug,7724065,4700,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,LW,Alex Killorn (7724016),Alex Killorn,7724016,4700,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,LW,Ondrej Palat (7724015),Ondrej Palat,7724015,4600,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,D,Keith Yandle (7724096),Keith Yandle,7724096,4600,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Henrik Sedin (7723962),Henrik Sedin,7723962,4500,Van@NYI 07:00PM ET,Van,
,,,,,,,,,,D,Aaron Ekblad (7724112),Aaron Ekblad,7724112,4500,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Sam Reinhart (7723959),Sam Reinhart,7723959,4400,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,LW,Matt Moulson (7723986),Matt Moulson,7723986,4400,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,D,Zdeno Chara (7724055),Zdeno Chara,7724055,4400,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,RW,Loui Eriksson (7724033),Loui Eriksson,7724033,4300,Van@NYI 07:00PM ET,Van,
,,,,,,,,,,D,Alexander Edler (7724075),Alexander Edler,7724075,4300,Van@NYI 07:00PM ET,Van,
,,,,,,,,,,C,Nick Bjugstad (7723977),Nick Bjugstad,7723977,4300,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,D,Nick Leddy (7724080),Nick Leddy,7724080,4200,Van@NYI 07:00PM ET,NYI,
,,,,,,,,,,LW,Jussi Jokinen (7724008),Jussi Jokinen,7724008,4200,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,RW,Reilly Smith (7724051),Reilly Smith,7724051,4200,TB@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Brandon Sutter (7723964),Brandon Sutter,7723964,4100,Van@NYI 07:00PM ET,Van,
,,,,,,,,,,LW,Vladislav Namestnikov (7724014),Vladislav Namestnikov,7724014,4100,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,RW,Ryan Callahan (7724044),Ryan Callahan,7724044,4100,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,D,Anton Stralman (7724097),Anton Stralman,7724097,4100,TB@Fla 07:30PM ET,TB,
,,,,,,,,,,C,Frank Vatrano (7723960),Frank Vatrano,7723960,4000,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,LW,Ryan Spooner (7723991),Ryan Spooner,7723991,4000,Buf@Bos 07:00PM ET,Bos,
,,,,,,,,,,RW,Tyler Ennis (7724023),Tyler Ennis,7724023,4000,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,D,Zach Bogosian (7724060),Zach Bogosian,7724060,4000,Buf@Bos 07:00PM ET,Buf,
,,,,,,,,,,LW,Sven Baertschi (7724002),Sven Baertschi,7724002,4000,Van@NYI 07:00PM ET,Van,
