C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,C,Nathan MacKinnon (7718819),Nathan MacKinnon,7718819,6400,Col@StL 05:00PM ET,Col,
,,,,,,,,,,G,Jordan Binnington (7719150),Jordan Binnington,7719150,6400,Col@StL 05:00PM ET,StL,
,,,,,,,,,,G,Spencer Martin (7719151),Spencer Martin,7719151,6400,Col@StL 05:00PM ET,Col,
,,,,,,,,,,G,Luke Opilka (7719152),Luke Opilka,7719152,6400,Col@StL 05:00PM ET,StL,
,,,,,,,,,,G,Edward Pasquale (7719156),Edward Pasquale,7719156,6400,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,G,Michael Leighton (7719159),Michael Leighton,7719159,6400,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,G,Max Lagace (7719170),Max Lagace,7719170,6400,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,G,David Rittich (7719183),David Rittich,7719183,6400,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,LW,Taylor Hall (7718909),Taylor Hall,7718909,6300,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,C,Artem Anisimov (7718843),Artem Anisimov,7718843,6200,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,D,Dustin Byfuglien (7719110),Dustin Byfuglien,7719110,6200,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,LW,Johnny Gaudreau (7718949),Johnny Gaudreau,7718949,6200,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,LW,Jeff Skinner (7718910),Jeff Skinner,7718910,6100,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,C,Mika Zibanejad (7718859),Mika Zibanejad,7718859,6100,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Mark Giordano (7719129),Mark Giordano,7719129,6000,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,LW,Dylan Larkin (7718901),Dylan Larkin,7718901,5900,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,C,Ryan Kesler (7718867),Ryan Kesler,7718867,5800,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,LW,Rickard Rakell (7718947),Rickard Rakell,7718947,5800,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,LW,Jaden Schwartz (7718883),Jaden Schwartz,7718883,5700,Col@StL 05:00PM ET,StL,
,,,,,,,,,,LW,Milan Lucic (7718893),Milan Lucic,7718893,5700,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,C,Victor Rask (7718837),Victor Rask,7718837,5700,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,C,Jonathan Toews (7718841),Jonathan Toews,7718841,5700,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,RW,Jason Spezza (7718994),Jason Spezza,7718994,5700,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,D,Duncan Keith (7719091),Duncan Keith,7719091,5600,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,C,Derek Stepan (7718856),Derek Stepan,7718856,5600,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,C,Sean Monahan (7718874),Sean Monahan,7718874,5600,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,LW,Alexander Steen (7718878),Alexander Steen,7718878,5500,Col@StL 05:00PM ET,StL,
,,,,,,,,,,D,Ryan McDonagh (7719115),Ryan McDonagh,7719115,5500,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,LW,Gabriel Landeskog (7718885),Gabriel Landeskog,7718885,5400,Col@StL 05:00PM ET,Col,
,,,,,,,,,,RW,Gustav Nyquist (7718975),Gustav Nyquist,7718975,5400,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,D,Mike Green (7719047),Mike Green,7719047,5400,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,C,Paul Stastny (7718813),Paul Stastny,7718813,5300,Col@StL 05:00PM ET,StL,
,,,,,,,,,,D,Justin Faulk (7719073),Justin Faulk,7719073,5300,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,LW,Richard Panik (7718921),Richard Panik,7718921,5300,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,D,Brent Seabrook (7719092),Brent Seabrook,7719092,5300,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,RW,Jakob Silfverberg (7719022),Jakob Silfverberg,7719022,5300,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,C,Henrik Zetterberg (7718820),Henrik Zetterberg,7718820,5200,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,RW,Marian Hossa (7718990),Marian Hossa,7718990,5200,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,D,John Klingberg (7719099),John Klingberg,7719099,5200,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,D,Cam Fowler (7719137),Cam Fowler,7719137,5200,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,D,Erik Johnson (7719030),Erik Johnson,7719030,5100,Col@StL 05:00PM ET,Col,
,,,,,,,,,,D,Kevin Shattenkirk (7719031),Kevin Shattenkirk,7719031,5100,Col@StL 05:00PM ET,StL,
,,,,,,,,,,LW,Jimmy Vesey (7718934),Jimmy Vesey,7718934,5100,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Alex Pietrangelo (7719033),Alex Pietrangelo,7719033,5000,Col@StL 05:00PM ET,StL,
,,,,,,,,,,C,Frans Nielsen (7718821),Frans Nielsen,7718821,5000,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,LW,Tomas Tatar (7718896),Tomas Tatar,7718896,5000,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,LW,Patrick Sharp (7718916),Patrick Sharp,7718916,5000,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,RW,J.T. Miller (7719010),J.T. Miller,7719010,5000,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,C,Ryan Nugent-Hopkins (7718826),Ryan Nugent-Hopkins,7718826,4900,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,RW,Thomas Vanek (7718966),Thomas Vanek,7718966,4900,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,RW,Lee Stempniak (7718982),Lee Stempniak,7718982,4900,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,D,Sami Vatanen (7719138),Sami Vatanen,7719138,4900,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,D,Tyson Barrie (7719039),Tyson Barrie,7719039,4800,Col@StL 05:00PM ET,Col,
,,,,,,,,,,C,Leon Draisaitl (7718828),Leon Draisaitl,7718828,4800,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,C,Bryan Little (7718852),Bryan Little,7718852,4800,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,D,Colton Parayko (7719043),Colton Parayko,7719043,4700,Col@StL 05:00PM ET,StL,
,,,,,,,,,,RW,Kyle Palmieri (7718983),Kyle Palmieri,7718983,4600,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,RW,Ales Hemsky (7718993),Ales Hemsky,7718993,4600,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,D,Dougie Hamilton (7719139),Dougie Hamilton,7719139,4600,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,D,Francois Beauchemin (7719028),Francois Beauchemin,7719028,4500,Col@StL 05:00PM ET,Col,
,,,,,,,,,,C,Mark Letestu (7718823),Mark Letestu,7718823,4500,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,RW,Patrick Eaves (7718995),Patrick Eaves,7718995,4500,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,C,Carl Soderberg (7718811),Carl Soderberg,7718811,4400,Col@StL 05:00PM ET,Col,
,,,,,,,,,,RW,David Perron (7718956),David Perron,7718956,4400,Col@StL 05:00PM ET,StL,
,,,,,,,,,,LW,Benoit Pouliot (7718891),Benoit Pouliot,7718891,4400,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,RW,Michael Cammalleri (7718981),Michael Cammalleri,7718981,4400,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,LW,Nick Ritchie (7718951),Nick Ritchie,7718951,4400,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,RW,Michael Frolik (7719018),Michael Frolik,7719018,4400,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,D,Dennis Wideman (7719128),Dennis Wideman,7719128,4400,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,C,Darren Helm (7718822),Darren Helm,7718822,4300,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,RW,Justin Abdelkader (7718968),Justin Abdelkader,7718968,4300,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,RW,Jesse Puljujarvi (7718980),Jesse Puljujarvi,7718980,4300,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,RW,Jiri Hudler (7718992),Jiri Hudler,7718992,4300,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,LW,Nikolaj Ehlers (7718938),Nikolaj Ehlers,7718938,4300,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,D,T.J. Brodie (7719135),T.J. Brodie,7719135,4300,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,D,Hampus Lindholm (7719143),Hampus Lindholm,7719143,4300,Cgy@Anh 09:30PM ET,Anh,
