Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Niko Mikkola (14426586),Niko Mikkola,14426586,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,4.78
D,Jake Walman (14426588),Jake Walman,14426588,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,2.8
D,Jake Dotchin (14426590),Jake Dotchin,14426590,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,0
D,Mitch Reinke (14426592),Mitch Reinke,14426592,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,0
D,Petteri Lindbohm (14426594),Petteri Lindbohm,14426594,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,0
C,Mark Jankowski (14425914),Mark Jankowski,14425914,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,2.82
C,Alan Quine (14425962),Alan Quine,14425962,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,3.23
C,Matthew Phillips (14425964),Matthew Phillips,14425964,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
C,Byron Froese (14425966),Byron Froese,14425966,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
C,Patrick Brown (14425968),Patrick Brown,14425968,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,11.5
C,Gage Quinney (14425970),Gage Quinney,14425970,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,2.67
C,Peyton Krebs (14425972),Peyton Krebs,14425972,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,0
RW,Nicolas Roy (14426156),Nicolas Roy,14426156,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.60
LW,Milan Lucic (14426172),Milan Lucic,14426172,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,3.96
LW,Brandon Pirri (14426174),Brandon Pirri,14426174,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,3.3
RW,Sam Bennett (14426202),Sam Bennett,14426202,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.47
LW,Tobias Rieder (14426204),Tobias Rieder,14426204,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,3.95
RW,Ryan Reaves (14426206),Ryan Reaves,14426206,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,3.12
LW,William Carrier (14426208),William Carrier,14426208,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.07
LW,Zac Rinaldo (14426230),Zac Rinaldo,14426230,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.3
RW,Buddy Robinson (14426298),Buddy Robinson,14426298,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.8
RW,Austin Czarnik (14426300),Austin Czarnik,14426300,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.76
LW,Justin Kirkland (14426302),Justin Kirkland,14426302,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
RW,Spencer Foo (14426304),Spencer Foo,14426304,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
LW,Ryan Lomberg (14426306),Ryan Lomberg,14426306,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
LW,Jakob Pelletier (14426308),Jakob Pelletier,14426308,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
RW,Cody Glass (14426310),Cody Glass,14426310,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.23
LW,Valentin Zykov (14426312),Valentin Zykov,14426312,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,3.93
LW,Tyrell Goulbourne (14426314),Tyrell Goulbourne,14426314,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,0
LW,Curtis McKenzie (14426316),Curtis McKenzie,14426316,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,0
D,Derek Forbort (14426526),Derek Forbort,14426526,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.54
D,Zach Whitecloud (14426528),Zach Whitecloud,14426528,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,2.93
D,Oliver Kylington (14426548),Oliver Kylington,14426548,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,3.02
D,Jon Merrill (14426550),Jon Merrill,14426550,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.43
