C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Henrik Lundqvist (7730011),Henrik Lundqvist,7730011,8700,Van@NYR 07:00PM ET,NYR,
,,,,,,,,,,LW,Alex Ovechkin (7729609),Alex Ovechkin,7729609,8400,SJ@Was 07:00PM ET,Was,
,,,,,,,,,,G,Carey Price (7730043),Carey Price,7730043,8400,Bos@Mon 07:30PM ET,Mon,
,,,,,,,,,,D,Brent Burns (7729889),Brent Burns,7729889,8300,SJ@Was 07:00PM ET,SJ,
,,,,,,,,,,C,Connor McDavid (7729488),Connor McDavid,7729488,8200,Edm@Pit 07:00PM ET,Edm,
,,,,,,,,,,G,Braden Holtby (7730030),Braden Holtby,7730030,8100,SJ@Was 07:00PM ET,Was,
,,,,,,,,,,G,Antti Raanta (7730015),Antti Raanta,7730015,8000,Van@NYR 07:00PM ET,NYR,
,,,,,,,,,,G,Al Montoya (7730042),Al Montoya,7730042,7900,Bos@Mon 07:30PM ET,Mon,
,,,,,,,,,,G,Cory Schneider (7730005),Cory Schneider,7730005,7800,Car@NJ 07:00PM ET,NJ,
,,,,,,,,,,C,Sidney Crosby (7729481),Sidney Crosby,7729481,7800,Edm@Pit 07:00PM ET,Pit,
,,,,,,,,,,G,Philipp Grubauer (7730031),Philipp Grubauer,7730031,7800,SJ@Was 07:00PM ET,Was,
,,,,,,,,,,G,Jonathan Quick (7730036),Jonathan Quick,7730036,7800,LA@Tor 07:30PM ET,LA,
,,,,,,,,,,G,Marc-Andre Fleury (7730022),Marc-Andre Fleury,7730022,7700,Edm@Pit 07:00PM ET,Pit,
,,,,,,,,,,G,Matt Murray (7730026),Matt Murray,7730026,7700,Edm@Pit 07:00PM ET,Pit,
,,,,,,,,,,G,Craig Anderson (7730049),Craig Anderson,7730049,7600,Ott@Nsh 08:00PM ET,Ott,
,,,,,,,,,,C,Tyler Seguin (7729537),Tyler Seguin,7729537,7600,Dal@Wpg 08:00PM ET,Dal,
,,,,,,,,,,G,Semyon Varlamov (7730065),Semyon Varlamov,7730065,7600,Ari@Col 09:00PM ET,Col,
,,,,,,,,,,G,Keith Kinkaid (7730008),Keith Kinkaid,7730008,7500,Car@NJ 07:00PM ET,NJ,
