C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RW,Patrick Kane (7734139),Patrick Kane,7734139,8400,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,G,Corey Crawford (7734221),Corey Crawford,7734221,8200,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,RW,Vladimir Tarasenko (7734141),Vladimir Tarasenko,7734141,8000,Chi@StL 08:00PM ET,StL,
,,,,,,,,,,G,Scott Darling (7734225),Scott Darling,7734225,7900,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,G,Craig Anderson (7734213),Craig Anderson,7734213,7800,Ott@Buf 07:30PM ET,Ott,
,,,,,,,,,,G,Sergei Bobrovsky (7734210),Sergei Bobrovsky,7734210,7600,Anh@Cls 07:00PM ET,Cls,
,,,,,,,,,,G,Andrew Hammond (7734218),Andrew Hammond,7734218,7600,Ott@Buf 07:30PM ET,Ott,
,,,,,,,,,,G,Mike Condon (7734219),Mike Condon,7734219,7600,Ott@Buf 07:30PM ET,Ott,
,,,,,,,,,,RW,Corey Perry (7734113),Corey Perry,7734113,7500,Anh@Cls 07:00PM ET,Anh,
,,,,,,,,,,G,John Gibson (7734211),John Gibson,7734211,7500,Anh@Cls 07:00PM ET,Anh,
,,,,,,,,,,G,Jonathan Bernier (7734207),Jonathan Bernier,7734207,7300,Anh@Cls 07:00PM ET,Anh,
,,,,,,,,,,G,Jake Allen (7734222),Jake Allen,7734222,7300,Chi@StL 08:00PM ET,StL,
,,,,,,,,,,G,Curtis McElhinney (7734206),Curtis McElhinney,7734206,7200,Anh@Cls 07:00PM ET,Cls,
,,,,,,,,,,D,Erik Karlsson (7734173),Erik Karlsson,7734173,7200,Ott@Buf 07:30PM ET,Ott,
,,,,,,,,,,G,Robin Lehner (7734214),Robin Lehner,7734214,7200,Ott@Buf 07:30PM ET,Buf,
,,,,,,,,,,G,Carter Hutton (7734223),Carter Hutton,7734223,7200,Chi@StL 08:00PM ET,StL,
,,,,,,,,,,G,Anders Nilsson (7734215),Anders Nilsson,7734215,7000,Ott@Buf 07:30PM ET,Buf,
,,,,,,,,,,LW,Artemi Panarin (7734112),Artemi Panarin,7734112,7000,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,G,Dustin Tokarski (7734208),Dustin Tokarski,7734208,6900,Anh@Cls 07:00PM ET,Anh,
,,,,,,,,,,C,Artem Anisimov (7734069),Artem Anisimov,7734069,6800,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,C,Ryan Getzlaf (7734048),Ryan Getzlaf,7734048,6700,Anh@Cls 07:00PM ET,Anh,
,,,,,,,,,,G,Matthew O'Connor (7734220),Matthew O'Connor,7734220,6700,Ott@Buf 07:30PM ET,Ott,
,,,,,,,,,,LW,Evander Kane (7734089),Evander Kane,7734089,6500,Ott@Buf 07:30PM ET,Buf,
,,,,,,,,,,G,Scott Greenham (7734216),Scott Greenham,7734216,6500,Ott@Buf 07:30PM ET,Ott,
,,,,,,,,,,G,Linus Ullmark (7734217),Linus Ullmark,7734217,6500,Ott@Buf 07:30PM ET,Buf,
,,,,,,,,,,G,Lars Johansson (7734227),Lars Johansson,7734227,6500,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,G,Brad Thiessen (7734209),Brad Thiessen,7734209,6400,Anh@Cls 07:00PM ET,Cls,
,,,,,,,,,,G,Anton Forsberg (7734212),Anton Forsberg,7734212,6400,Anh@Cls 07:00PM ET,Cls,
,,,,,,,,,,C,Ryan O'Reilly (7734059),Ryan O'Reilly,7734059,6400,Ott@Buf 07:30PM ET,Buf,
,,,,,,,,,,G,Jordan Binnington (7734224),Jordan Binnington,7734224,6400,Chi@StL 08:00PM ET,StL,
,,,,,,,,,,G,Luke Opilka (7734226),Luke Opilka,7734226,6400,Chi@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Rickard Rakell (7734120),Rickard Rakell,7734120,6300,Anh@Cls 07:00PM ET,Anh,
,,,,,,,,,,C,Jack Eichel (7734064),Jack Eichel,7734064,6200,Ott@Buf 07:30PM ET,Buf,
,,,,,,,,,,C,Jonathan Toews (7734066),Jonathan Toews,7734066,6100,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,C,Ryan Kesler (7734047),Ryan Kesler,7734047,6000,Anh@Cls 07:00PM ET,Anh,
,,,,,,,,,,RW,Kyle Okposo (7734126),Kyle Okposo,7734126,6000,Ott@Buf 07:30PM ET,Buf,
,,,,,,,,,,LW,Mike Hoffman (7734091),Mike Hoffman,7734091,5900,Ott@Buf 07:30PM ET,Ott,
,,,,,,,,,,D,Duncan Keith (7734188),Duncan Keith,7734188,5900,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,D,Rasmus Ristolainen (7734182),Rasmus Ristolainen,7734182,5800,Ott@Buf 07:30PM ET,Buf,
,,,,,,,,,,D,Cam Fowler (7734155),Cam Fowler,7734155,5700,Anh@Cls 07:00PM ET,Anh,
,,,,,,,,,,LW,Alexander Steen (7734099),Alexander Steen,7734099,5700,Chi@StL 08:00PM ET,StL,
,,,,,,,,,,D,Zach Werenski (7734165),Zach Werenski,7734165,5600,Anh@Cls 07:00PM ET,Cls,
,,,,,,,,,,LW,Jaden Schwartz (7734104),Jaden Schwartz,7734104,5600,Chi@StL 08:00PM ET,StL,
,,,,,,,,,,C,Kyle Turris (7734058),Kyle Turris,7734058,5500,Ott@Buf 07:30PM ET,Ott,
,,,,,,,,,,RW,Marian Hossa (7734136),Marian Hossa,7734136,5400,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,D,Kevin Shattenkirk (7734191),Kevin Shattenkirk,7734191,5400,Chi@StL 08:00PM ET,StL,
,,,,,,,,,,LW,Richard Panik (7734103),Richard Panik,7734103,5300,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,D,Brent Seabrook (7734189),Brent Seabrook,7734189,5300,Chi@StL 08:00PM ET,Chi,
,,,,,,,,,,LW,Brandon Saad (7734080),Brandon Saad,7734080,5200,Anh@Cls 07:00PM ET,Cls,
,,,,,,,,,,RW,Jakob Silfverberg (7734118),Jakob Silfverberg,7734118,5200,Anh@Cls 07:00PM ET,Anh,
