C,C,W,W,W,D,D,G,UTIL
Nathan MacKinnon (14425816),Mikko Koivu (14425896),Zach Parise (14426056),Timo Meier (14426048),Mats Zuccarello (14426104),Mark Giordano (14426372),Michael Stone (14426476),Andrei Vasilevskiy (14426650),Nikita Kucherov (14425998)
Nathan MacKinnon (14425816),Brayden Point (14425820),Zach Parise (14426056),Tyler Johnson (14426088),Yanni Gourde (14426120),Erik Gustafsson (14426442),Michael Stone (14426476),Andrei Vasilevskiy (14426650),Nikita Kucherov (14425998)
Brayden Point (14425820),Ryan Getzlaf (14425850),Timo Meier (14426048),Zach Parise (14426056),Mats Zuccarello (14426104),Mark Giordano (14426372),Michael Stone (14426476),Andrei Vasilevskiy (14426650),Nikita Kucherov (14425998)
Nathan MacKinnon (14425816),Mikko Koivu (14425896),Blake Coleman (14426050),Zach Parise (14426056),Yanni Gourde (14426120),Alexander Edler (14426374),Erik Gustafsson (14426442),Andrei Vasilevskiy (14426650),Nikita Kucherov (14425998)
Sean Monahan (14425834),Ryan O'Reilly (14425832),Timo Meier (14426048),Brandon Saad (14426062),Mats Zuccarello (14426104),Alexander Edler (14426374),Erik Gustafsson (14426442),Andrei Vasilevskiy (14426650),Nikita Kucherov (14425998)
Nathan MacKinnon (14425816),Tomas Nosek (14425902),Elias Lindholm (14426032),Alex Killorn (14426072),Mats Zuccarello (14426104),Shea Theodore (14426370),Kevin Connauton (14426480),Pavel Francouz (14426655),Nikita Kucherov (14425998)
Nathan MacKinnon (14425816),Mikko Koivu (14425896),Timo Meier (14426048),Brandon Saad (14426062),Yanni Gourde (14426120),Shea Theodore (14426370),Erik Gustafsson (14426442),Pavel Francouz (14426655),Nikita Kucherov (14425998)
Ryan O'Reilly (14425832),Mikko Koivu (14425896),Timo Meier (14426048),Zach Parise (14426056),Mats Zuccarello (14426104),Mark Giordano (14426372),Alexander Edler (14426374),Andrei Vasilevskiy (14426650),Nikita Kucherov (14425998)
Nathan MacKinnon (14425816),Joe Thornton (14425886),Johnny Gaudreau (14426022),Alex Killorn (14426072),Mats Zuccarello (14426104),Alexander Edler (14426374),Adam Boqvist (14426490),Jordan Binnington (14426659),Nikita Kucherov (14425998)
Ryan O'Reilly (14425832),Devin Shore (14425900),Gabriel Landeskog (14426006),David Perron (14426042),Stefan Matteau (14426092),Shea Theodore (14426370),Kevin Shattenkirk (14426422),John Gibson (14426670),Nikita Kucherov (14425998)
Sean Monahan (14425834),Pierre-Luc Dubois (14425838),Johnny Gaudreau (14426022),David Perron (14426042),Yanni Gourde (14426120),Mark Giordano (14426372),Adam Boqvist (14426490),Jordan Binnington (14426659),Nikita Kucherov (14425998)
Sean Monahan (14425834),Luke Kunin (14425862),Matthew Tkachuk (14426026),Blake Coleman (14426050),Ryan Donato (14426134),Alexander Edler (14426374),Ryan Suter (14426396),Pavel Francouz (14426655),Nikita Kucherov (14425998)
Luke Kunin (14425862),Tomas Nosek (14425902),Johnny Gaudreau (14426022),Jakob Silfverberg (14426046),Ryan Donato (14426134),Shea Theodore (14426370),Mark Giordano (14426372),Andrei Vasilevskiy (14426650),Nathan MacKinnon (14425816)
Jonathan Toews (14425824),Luke Kunin (14425862),Matthew Tkachuk (14426026),Zach Parise (14426056),Stefan Matteau (14426092),Ryan Suter (14426396),Vince Dunn (14426430),Andrei Vasilevskiy (14426650),Nikita Kucherov (14425998)
Sean Monahan (14425834),Tyler Bozak (14425866),Matthew Tkachuk (14426026),Elias Lindholm (14426032),Yanni Gourde (14426120),Mark Giordano (14426372),Vince Dunn (14426430),John Gibson (14426670),Nathan MacKinnon (14425816)
Brayden Point (14425820),Devin Shore (14425900),Nikita Kucherov (14425998),Jakob Silfverberg (14426046),Blake Coleman (14426050),Erik Gustafsson (14426442),Slater Koekkoek (14426488),Pavel Francouz (14426655),Nathan MacKinnon (14425816)
Sean Monahan (14425834),Joe Thornton (14425886),Evander Kane (14426020),Blake Coleman (14426050),Yanni Gourde (14426120),Shea Theodore (14426370),Matt Dumba (14426392),Jordan Binnington (14426659),Patrick Kane (14425996)
Anthony Cirelli (14425842),Joe Thornton (14425886),David Perron (14426042),Zach Parise (14426056),Mats Zuccarello (14426104),Shea Theodore (14426370),Alexander Edler (14426374),Jordan Binnington (14426659),Nathan MacKinnon (14425816)
Jonathan Toews (14425824),Pierre-Luc Dubois (14425838),Dominik Kubalik (14426030),Tyler Bertuzzi (14426074),Alexander Steen (14426126),Shea Theodore (14426370),Zach Bogosian (14426484),Andrei Vasilevskiy (14426650),Nikita Kucherov (14425998)
Jonathan Toews (14425824),Tyler Bozak (14425866),Jakob Silfverberg (14426046),Tyler Bertuzzi (14426074),Yanni Gourde (14426120),Shea Theodore (14426370),Matt Dumba (14426392),Pavel Francouz (14426655),Nikita Kucherov (14425998)
